"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US12111","St. Lucie County, Florida","108811","3814","78.8","2.1","16","1.3","N","N","N","N","N","N","N","N","N","N","13.3","1.2","68.1","1.8","1.8","0.7","26.1","2","35.3","2.3","36.7","1.6","73598","3710","30","3","70","3","75.5","3.5","17.1","2.3","7.3","2.2","35213","2996","56.4","5.4","48.7","5","7.7","3.1","43.6","5.4","31","4.6","12.7","4.2","38.1","(X)","37.2","(X)","38.8","(X)","45905","3413","49149","3450","28694","5755","N","N","67256","43066","-","**","90283","24312","43596","25785","40096","10246","50869","4072","21452","11092","53841","3395","46887","7297","40718","4665","53728","3744","47419","11704","56673","5421","62971","5650","28429","7463","35982","4676","29196","5116","23722","2296","22353","2479","60038","25399","35556","6820","30752","4475","55821","7953","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12113","Santa Rosa County, Florida","60861","1910","88.6","1.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.2","1.6","3","1.2","32.5","2.1","41.7","2.3","22.8","1.5","44593","2466","N","N","N","N","N","N","N","N","N","N","16268","2196","48.9","6.6","37.2","6.1","11.7","4.6","51.1","6.6","34.9","6.8","16.2","4.8","31.2","(X)","31.4","(X)","29.9","(X)","59682","2857","60998","2298","51079","26414","N","N","61660","49405","-","**","N","N","33770","13293","56789","27963","61108","2363","24898","16258","66174","12215","65982","7307","47148","10753","65639","4919","67464","13369","62608","5661","78481","4904","27412","3733","60270","11535","41322","7318","33566","10523","27545","15168","44891","30088","57655","14014","47076","12858","77767","36604","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12115","Sarasota County, Florida","177807","3612","94.1","0.8","3.5","0.5","N","N","N","N","N","N","N","N","N","N","5.3","0.6","89.4","0.9","1.5","0.5","17","1.2","33.5","1.3","48","1.3","110221","4187","25.6","1.8","74.4","1.8","80.7","2.1","14.8","2","4.5","1","67586","3617","63.3","2.1","55.6","2.2","7.7","1.4","36.7","2.1","29","2.2","7.7","1.7","45.7","(X)","46.7","(X)","42.3","(X)","56286","2523","58454","3078","30427","5476","N","N","52067","4362","-","**","N","N","N","N","43699","7116","59306","3100","34734","17991","61816","4732","64646","5475","50711","3451","70208","2295","64600","6046","72153","3631","77455","3674","45063","2818","46950","18996","36900","3103","34440","4461","31173","2603","62920","21420","39393","3602","32224","4625","68065","10915","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12117","Seminole County, Florida","162739","2735","82.4","1.1","10.3","0.9","N","N","3.4","0.4","N","N","N","N","N","N","18","1","66.9","1.1","3.1","0.5","33.9","1.4","40.2","1.3","22.8","1","108043","3614","39.8","1.8","60.2","1.8","75","2.3","18.9","2.1","6.1","1.4","54696","3314","54.2","3","47.4","3","6.9","1.4","45.8","3","33.5","3.2","12.3","2.4","45.4","(X)","44.3","(X)","46.4","(X)","57074","3038","61045","1736","39046","6604","80775","27976","73571","18079","-","**","35770","6159","46705","6876","40526","5125","65362","3343","20797","5703","58989","5906","73598","6314","42177","3664","71534","2369","66457","4947","74381","4648","83543","4120","41317","5355","43445","9569","34113","3728","29339","3363","27194","2701","56833","10357","39487","3420","35115","4514","50567","11611","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12119","Sumter County, Florida","51170","3126","95.5","1.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","93.1","1.8","N","N","N","N","N","N","N","N","33695","3081","N","N","N","N","N","N","N","N","N","N","17475","2450","65.2","7.6","61","7.9","4.2","3.5","34.8","7.6","29.8","7.9","5.1","3.1","33.9","(X)","36.4","(X)","29","(X)","51335","5576","53005","6163","21121","18036","43420","20202","-","**","-","**","N","N","46515","6333","26429","11400","54300","6232","13144","117280","45469","21483","63492","14394","48881","4942","64737","7650","53625","27509","65292","8043","66622","7542","37018","11693","82599","68921","31436","6375","26832","5409","25658","5018","60625","83421","38725","2952","38200","5760","89830","66212","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US12127","Volusia County, Florida","209657","3139","86.4","0.8","9.7","0.6","N","N","N","N","N","N","N","N","N","N","9.1","0.6","78.5","0.9","3.3","0.7","23.5","1.1","37.4","1","35.7","0.8","128752","3899","30.8","2.1","69.2","2.1","74.9","2.1","18.3","1.9","6.9","1.1","80905","3649","53.1","2.5","44.8","2.1","8.3","1.6","46.9","2.5","35.9","3","11","2.4","38.4","(X)","37.3","(X)","39.6","(X)","42175","1730","44119","1613","26034","4688","68550","50245","N","N","-","**","31153","10894","41538","13053","33477","4005","45294","1425","16908","4831","42232","5738","49396","3423","37939","1945","52283","2506","49223","4472","53940","2724","62437","2137","30848","3703","35349","6286","28159","1744","25583","1553","23316","1490","46746","13176","31645","1795","28354","3881","41645","10950","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13013","Barrow County, Georgia","24100","1060","85.1","3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","80.5","2.9","1.8","1.6","37.5","3.9","37.7","3.7","23","2.3","18041","1291","N","N","N","N","N","N","N","N","N","N","6059","1060","60.4","8.6","56.2","8.8","4.3","2.6","39.6","8.6","23.3","7.7","16.2","8.3","34.1","(X)","33.2","(X)","32","(X)","53156","3987","55043","5088","44237","24539","-","**","73974","48726","-","**","N","N","N","N","39961","14611","56298","5218","39624","30942","62775","14820","51817","7957","37244","8353","56865","6595","60441","13697","55082","8134","70032","7314","21418","2262","42781","18189","35166","4987","28982","7360","27575","8447","40483","7501","52104","10548","38576","8269","81333","44471","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13015","Bartow County, Georgia","37016","1119","83.2","2.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","82.3","2","4.5","2.4","34.5","3.4","39.5","3.9","21.5","1.9","27144","1822","N","N","N","N","N","N","N","N","N","N","9872","1591","45.2","8.3","35","7.4","10.1","4.9","54.8","8.3","42","9.5","12.8","6.6","38.3","(X)","38.5","(X)","36.5","(X)","50572","3941","55067","5471","45735","9591","98578","49692","-","**","-","**","29117","23418","N","N","33320","26240","54466","5547","28574","11082","55768","8258","55143","8496","42512","10974","55730","6096","51543","9976","57440","9023","69681","8840","32952","5626","43571","26774","31311","5415","23007","3807","20347","4323","43603","8212","42835","11203","32638","9096","66334","26145","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13021","Bibb County, Georgia","59795","1428","44.3","1.7","52.8","1.6","N","N","N","N","N","N","N","N","N","N","N","N","42.9","1.6","4.4","1.1","33.8","1.6","38.7","1.5","23.2","1.4","35842","1929","39.3","3.7","60.7","3.7","61","3.5","31","3.4","8.1","2.4","23953","1954","55.9","5.3","51.2","5.1","4.8","2.5","44.1","5.3","37.3","4.7","6.7","2.7","37.1","(X)","40.1","(X)","31.4","(X)","38605","3220","55030","5826","27486","2892","N","N","81059","39484","-","**","N","N","N","N","31491","15793","55626","5521","9507","3977","38443","6568","48576","7437","34497","4209","50452","2771","35764","6162","58724","3383","67765","6488","23638","6946","25353","6605","23793","2912","20992","5248","20122","4861","37952","30106","26035","2797","23236","3719","46949","28998","(X)","(X)","(X)","(X)","(X)","(X)"
