"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US19013","Black Hawk County, Iowa","51322","1700","88.5","1.4","8.7","1.4","N","N","N","N","N","N","N","N","N","N","N","N","87.4","1.4","9.3","1.7","31.8","1.6","36.3","1.6","22.6","1.6","31050","1569","N","N","N","N","N","N","N","N","N","N","20272","1754","54.2","4.1","41.3","4.5","12.8","3.1","45.8","4.1","33.7","4.4","12.2","3.4","25.2","(X)","22.8","(X)","27.8","(X)","43341","2782","46203","2016","21681","6674","82879","47689","57090","6739","-","**","43266","43283","19806","2598","55184","27097","46118","2044","25027","6463","48668","5123","58018","4616","31937","2889","57465","3285","45433","4801","67347","4641","67817","3649","18651","6405","39784","13336","26874","3271","23836","1992","22777","2649","32759","11163","30432","4763","26333","5076","56214","18320","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19049","Dallas County, Iowa","25366","898","94.6","1.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","93.6","1.7","4.9","1.6","42.7","2.5","36.3","2.9","16.1","1.9","16864","1103","N","N","N","N","N","N","N","N","N","N","8502","1002","59.2","7.4","47.4","7.6","11.8","5.4","40.8","7.4","31.3","7.9","9.5","4.4","17.6","(X)","18.5","(X)","15.0","(X)","63915","6605","63974","6684","-","**","-","**","123623","25226","-","**","42800","34208","51437","657","44632","41788","63655","6709","28000","16610","72399","14880","81101","16876","28645","5196","81308","5499","86283","11683","76188","11396","88523","7896","32971","21143","67583","35278","35174","5488","33346","9519","28097","5387","60670","30366","35625","3937","29789","6387","82381","27488","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19061","Dubuque County, Iowa","37177","1339","96.1","1.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","95.7","1.1","6.0","2.0","31.8","2.0","40.2","2.0","22.0","2.2","24722","1310","N","N","N","N","N","N","N","N","N","N","12455","1353","49.8","5.0","39.3","5.3","10.6","4.2","50.2","5.0","39.2","4.3","11.0","4.3","21.6","(X)","18.9","(X)","26.3","(X)","49776","2537","50350","2544","26091","2885","-","**","71433","684","-","**","-","**","N","N","71757","31734","50160","2517","32877","11725","61298","4224","61035","6198","30872","3705","62235","3996","63307","6874","61494","6088","70091","3730","27208","2476","43136","8813","30951","4080","28201","3124","24744","3439","76336","50099","37475","5833","33048","6036","52405","23533","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19103","Johnson County, Iowa","52676","1696","88.1","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","85.8","1.6","16.5","2.2","39.8","1.9","29.8","1.5","13.9","1.2","27845","1693","N","N","N","N","N","N","N","N","N","N","24831","1674","51.0","4.0","33.1","4.2","17.9","3.9","49.0","4.0","28.5","4.5","20.5","3.8","21.3","(X)","19.9","(X)","22.2","(X)","49226","4005","52536","6354","28668","26596","9578","6498","54224","33273","-","**","N","N","23936","21860","N","N","53405","6317","12754","5775","55849","5579","75434","7906","39763","6395","71309","2799","79444","10923","69655","3070","78913","7591","45218","17894","24192","47618","28420","3959","27457","4298","25677","4014","32734","9981","29783","8374","26331","8645","39414","17079","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19113","Linn County, Iowa","87059","1972","93.0","0.9","4.1","0.6","N","N","N","N","N","N","N","N","N","N","N","N","92.2","0.9","6.1","1.5","36.8","1.6","36.6","1.2","20.4","1.0","55595","2477","49.3","2.4","50.7","2.4","75.8","3.0","15.3","2.2","8.9","2.2","31464","2296","55.6","4.3","46.9","3.9","8.7","2.4","44.4","4.3","35.4","4.4","9.0","2.4","18.8","(X)","17.2","(X)","19.5","(X)","54539","2677","55632","2049","29163","18158","N","N","61777","2908","-","**","76177","74814","N","N","40753","24628","55816","1959","25942","8861","59167","4330","70472","3864","37352","3367","70590","2993","74992","4672","66058","2958","82165","2794","33938","6840","44466","9620","31710","1871","26367","3519","24398","3616","40487","23679","40033","5006","35941","3843","50758","7611","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19153","Polk County, Iowa","171055","2454","89.5","0.8","4.8","0.6","N","N","2.7","0.4","N","N","N","N","N","N","4.6","0.5","86.8","0.8","6.8","0.9","39.2","1.0","37.1","0.9","16.9","0.7","110803","3489","48.6","1.8","51.4","1.8","75.2","1.7","18.0","1.8","6.7","1.1","60252","3207","53.9","2.5","44.5","2.8","9.4","2.0","46.1","2.5","36.2","3.0","10.0","2.1","25.6","(X)","25.3","(X)","25.1","(X)","53866","2365","56667","2610","24981","6540","32697","6577","60868","10839","-","**","35101","15889","28505","25499","35955","5711","57546","2390","31550","8697","59649","2968","64404","4292","36899","3880","67473","3306","61710","4142","70340","4103","80273","2413","32805","4360","45981","5220","32258","2093","29133","2862","25665","2058","60351","6834","36049","2969","31459","1848","60202","12816","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19155","Pottawattamie County, Iowa","36537","1060","95.9","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","93.7","1.8","5.3","1.4","30.6","2.2","40.1","2.2","24.0","1.7","24412","1521","39.3","3.5","60.7","3.5","72.9","4.4","18.9","3.5","8.2","2.4","12125","1493","49.8","5.4","42.3","5.5","7.6","3.4","50.2","5.4","40.2","5.3","10.0","3.4","21.1","(X)","21.8","(X)","19.1","(X)","47864","3580","48630","3861","N","N","-","**","N","N","-","**","N","N","N","N","28258","15080","48948","3890","25862","7171","49504","11678","64444","6806","33268","6183","59819","3605","53048","10246","62699","5330","70161","4086","25250","12177","38634","10464","26308","2697","24730","4756","22753","3848","42250","32063","27249","6660","24388","4988","61811","19660","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19163","Scott County, Iowa","67141","1842","89.1","1.3","6.7","1.2","N","N","N","N","N","N","N","N","N","N","N","N","86.9","1.2","6.0","1.3","35.2","1.8","39.2","1.8","19.7","1.2","43763","2163","44.8","2.8","55.2","2.8","77.3","2.5","17.7","2.4","5.0","1.6","23378","1748","51.4","4.1","44.4","4.0","7.0","2.3","48.6","4.1","37.8","4.8","10.8","3.0","29.4","(X)","28.7","(X)","28.5","(X)","47206","1797","50378","2144","22904","10759","57216","3161","55712","4969","-","**","40794","14699","29535","17837","40738","15014","50427","2194","22189","13151","49272","4542","63425","5790","34207","4901","61463","3981","61293","7300","61606","5255","75058","5581","23462","3446","37106","6782","29028","2773","28408","3145","25263","3582","42939","5460","29839","4727","30606","5452","26393","11260","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US19169","Story County, Iowa","35851","967","90.5","2.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","89.1","2.1","20.5","2.6","33.8","2.1","30.1","1.6","15.6","2.0","18867","1280","N","N","N","N","N","N","N","N","N","N","16984","1505","47.8","5.6","34.3","5.5","13.5","3.9","52.2","5.6","28.8","4.7","23.5","6.3","17.5","(X)","13.4","(X)","22.0","(X)","48034","2922","49625","2829","25330","20136","115179","52185","39352","33841","-","**","46739","26001","N","N","45870","38227","49778","2985","16688","3089","53225","6821","71761","7943","46775","3716","70485","4835","69854","10912","70713","4780","77185","4626","33169","16049","52105","7772","27635","3124","27090","3896","27047","5668","27292","6642","28167","4638","33479","6032","25225","10429","(X)","(X)","(X)","(X)","(X)","(X)"
