"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US01003","Baldwin County, Alabama","71307","3086","89.5","1.6","7.8","1.2","N","N","N","N","N","N","N","N","N","N","N","N","86.1","1.8","1.5","0.8","22.9","2.5","42.6","2.8","33.0","1.9","47040","3419","30.3","3.8","69.7","3.8","81.0","3.3","14.4","2.9","4.5","1.9","24267","2444","64.7","5.2","60.2","5.4","4.5","2.1","35.3","5.2","30.8","4.8","4.5","2.3","33.1","(X)","33.7","(X)","31.6","(X)","48461","3434","50710","4256","24552","9441","N","N","N","N","-","**","-","**","50968","14949","29361","7147","51594","4834","29704","18859","51786","11473","54976","6968","39143","4701","59607","5779","57473","14985","60760","5126","67640","4977","36015","3563","50540","9471","27240","3240","26149","3773","24538","4482","69087","27990","31456","14810","26494","8597","56317","13941","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","46087","1647","76.4","1.8","21.8","1.8","N","N","N","N","N","N","N","N","N","N","N","N","74.4","1.8","6.0","1.3","30.7","2.0","37.9","1.7","25.4","1.7","31710","1794","39.3","3.8","60.7","3.8","69.5","4.1","24.3","3.3","6.2","2.1","14377","1582","60.2","5.6","50.3","5.8","9.9","3.4","39.8","5.6","32.2","5.8","7.5","3.5","31.5","(X)","31.2","(X)","30.6","(X)","41428","2300","47673","4201","19021","4888","51114","26613","-","**","-","**","-","**","33609","8370","24841","5380","48662","4288","14021","3249","40220","4848","53527","5733","32658","5982","51351","2456","41864","8286","53878","4395","62311","4070","15753","2941","47384","30097","20738","3139","16596","3240","15612","3457","25018","14281","31189","5384","31263","4759","19263","71380","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01043","Cullman County, Alabama","30424","1303","97.2","1.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.6","1.7","2.5","1.3","30.9","2.8","38.0","2.9","28.6","2.4","20758","1601","N","N","N","N","N","N","N","N","N","N","9666","1320","56.9","7.5","53.2","7.5","3.7","2.6","43.1","7.5","33.8","7.3","9.3","5.0","26.0","(X)","26.0","(X)","26.1","(X)","38261","4000","38815","3828","18908","10474","-","**","-","**","-","**","-","**","-","**","N","N","39248","3814","17232","38215","41605","4823","43582","5446","26835","2867","46579","3854","44473","11625","46923","3289","51051","4359","31525","12915","29781","16035","20675","3154","19038","3376","18327","2739","43818","18396","22183","3909","20137","2482","26928","49864","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","24720","1328","88.5","2.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.8","2.1","2.4","1.6","32.1","3.3","37.0","3.5","28.5","2.4","16895","1435","N","N","N","N","N","N","N","N","N","N","7825","1324","55.3","7.6","51.1","7.8","4.2","4.0","44.7","7.6","42.8","7.8","1.9","2.6","32.4","(X)","30.8","(X)","35.7","(X)","35023","7253","38499","6337","36250","35075","21453","2658","-","**","-","**","21608","13436","110610","70673","22555","6742","38216","6707","22080","22417","50002","9979","32111","12141","28831","4433","47165","7849","43627","16736","48271","8103","51251","2418","19954","10953","31708","9811","19501","5795","13012","2556","12259","2133","37857","26780","24257","3110","23864","3064","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01051","Elmore County, Alabama","28352","1287","79.5","2.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79.0","2.8","2.8","1.9","32.1","3.6","39.6","3.2","25.5","2.4","19949","1714","N","N","N","N","N","N","N","N","N","N","8403","1485","56.2","6.7","46.3","8.0","9.9","6.3","43.8","6.7","39.9","6.5","3.9","2.6","29.2","(X)","30.4","(X)","21.1","(X)","55530","5844","58078","6117","N","N","-","**","-","**","-","**","N","N","45434","12021","N","N","58060","6139","26148","25146","58414","8191","62059","8515","40800","13943","61890","5193","58806","6223","67001","8215","71717","10229","32404","20840","50997","19756","26350","3777","22313","2890","21250","2473","46178","17662","38033","6694","37831","8580","93459","184110","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01055","Etowah County, Alabama","39714","1503","83.4","1.6","14.0","1.4","N","N","N","N","N","N","N","N","N","N","N","N","82.1","1.7","3.5","1.3","28.6","2.2","38.8","2.7","29.1","1.8","26853","1766","N","N","N","N","N","N","N","N","N","N","12861","1276","55.5","5.7","49.8","5.3","5.7","3.2","44.5","5.7","39.7","5.4","4.8","3.2","35.6","(X)","38.5","(X)","28.1","(X)","40529","2807","42090","4082","31309","11955","N","N","250,000+","***","-","**","N","N","16342","4107","28343","4446","42797","4717","21802","2686","49146","7430","47256","8449","32024","6843","53002","3965","53258","6610","52799","4989","61581","2981","21881","1488","40332","15610","19322","2618","15665","2599","14800","1995","32601","17012","23432","4111","21902","2771","36960","19550","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01069","Houston County, Alabama","38825","833","74.0","1.3","24.6","1.3","N","N","N","N","N","N","N","N","N","N","N","N","72.4","1.3","4.1","0.9","31.5","1.5","37.6","1.3","26.8","1.1","24949","893","39.5","2.2","60.5","2.2","68.3","2.3","25.0","2.1","6.7","1.9","13876","941","52.9","3.2","47.6","3.1","5.3","1.7","47.1","3.2","40.1","3.3","6.9","1.7","32.2","(X)","33.1","(X)","28.8","(X)","39543","2187","46293","2786","24241","1769","36591","31917","N","N","-","**","55292","18781","N","N","31591","17660","47076","2988","17189","7119","42909","3975","49229","2508","31822","2988","51484","1797","44988","4642","54078","2912","68121","2548","23192","3064","37917","13495","23234","2670","19724","1951","18545","1759","38361","8913","28953","4037","27162","5140","41144","11371","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","261980","3474","55.0","0.9","41.2","0.9","N","N","N","N","N","N","N","N","N","N","3.0","0.3","53.4","0.9","3.4","0.5","34.9","0.9","38.0","0.8","23.7","0.6","164822","4706","41.2","1.6","58.8","1.6","64.5","2.1","27.9","1.7","7.6","1.2","97158","4672","57.5","1.8","50.8","2.0","6.7","1.2","42.5","1.8","35.7","1.9","6.8","1.4","35.6","(X)","36.9","(X)","32.2","(X)","44646","1783","59231","2484","31868","1515","51375","8625","53848","28473","-","**","29127","8064","36538","24219","29737","4141","60165","2005","26721","8402","48655","3458","50310","3097","36863","1977","58311","2279","52532","5380","60375","2036","78239","2723","25938","1961","37895","4884","28679","2135","26694","1517","25540","1767","42011","11254","31611","1995","29558","2944","58652","14826","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","38093","1293","89.5","2.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88.2","2.1","6.5","2.0","26.9","2.2","37.5","2.5","29.1","2.1","24217","1489","N","N","N","N","N","N","N","N","N","N","13876","1245","61.6","5.3","52.0","5.9","9.6","3.9","38.4","5.3","34.3","5.6","4.1","2.3","36.1","(X)","34.8","(X)","38.2","(X)","40309","3318","41408","3657","30438","18469","-","**","-","**","-","**","-","**","20108","6690","N","N","41446","3648","22467","11353","45584","7512","48650","6444","31786","2665","53320","3980","44957","6370","57145","5905","62549","7765","23308","6999","31309","15141","21512","2741","19757","2949","18111","2615","33406","31277","27772","7221","27238","7963","29570","28594","(X)","(X)","(X)","(X)","(X)","(X)"
