"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US29189","St. Louis County, Missouri","402341","4075","73.2","0.7","22.2","0.6","N","N","2.9","0.3","N","N","N","N","1.4","0.3","1.8","0.2","71.8","0.7","3.8","0.5","30.9","0.7","41.5","0.7","23.7","0.6","265365","5913","44.1","1.4","55.9","1.4","71.4","1.5","22.5","1.3","6.1","0.9","136976","5625","57.9","1.8","51.2","1.9","6.7","1.1","42.1","1.8","34.4","1.7","7.7","1.2","28.0","(X)","29.2","(X)","24.3","(X)","54830","1914","63095","2579","37601","2710","N","N","67001","12936","-","**","N","N","33274","9121","46049","8627","63271","2655","25686","3265","55902","3335","71802","2618","39586","1969","71546","2064","69442","5584","72177","2277","90315","2258","32424","4800","45692","6489","33758","2200","30474","1532","28219","2148","52872","5773","38747","3328","35306","2744","55823","9389","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US29510","St. Louis city, Missouri","134193","3142","49.5","1.2","45.4","1.3","N","N","2.2","0.5","N","N","N","N","2.4","0.6","2.5","0.5","47.7","1.2","5.5","0.9","40.9","1.4","35.7","1.3","17.9","1.0","63180","3363","44.8","2.7","55.2","2.7","51.0","2.4","39.0","2.3","10.0","2.1","71013","3481","52.3","2.5","43.9","2.1","8.5","1.6","47.7","2.5","37.1","2.9","10.5","2.0","33.9","(X)","37.7","(X)","29.7","(X)","32570","1622","45554","2312","21862","1861","N","N","31684","7923","-","**","26013","16723","32818","5797","29870","5220","45994","2292","17677","2832","38400","3145","35767","2146","23245","2022","43299","4422","32877","3043","51440","3158","69458","6459","23134","2442","35269","8072","25185","1631","21478","1928","18829","1275","40521","7124","30212","2139","25060","3196","56440","16795","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US30013","Cascade County, Montana","32187","1023","92.4","2.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91.7","2.6","4.6","1.3","30.1","2.5","38.0","2.3","27.3","2.0","20014","1376","N","N","N","N","N","N","N","N","N","N","12173","1145","50.0","5.4","44.9","4.5","5.1","3.0","50.0","5.4","44.0","5.6","6.0","2.5","24.2","(X)","22.8","(X)","24.3","(X)","42623","3127","43468","3278","52500","45368","23816","20872","N","N","-","**","-","**","31289","12160","41548","32586","43676","3326","45139","13769","46716","7346","49482","4779","36206","4731","54009","4701","49292","8865","58511","3136","60171","4168","23156","6764","33383","4257","30052","4438","24830","7102","20969","7308","57027","29201","37966","4633","35948","6501","60167","7331","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US30029","Flathead County, Montana","37597","1878","98.4","0.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","97.3","1.0","4.9","2.1","26.4","2.1","44.8","2.2","23.9","2.1","22680","1907","N","N","N","N","N","N","N","N","N","N","14917","1669","50.0","6.7","43.4","6.7","6.6","3.4","50.0","6.7","40.3","6.4","9.7","5.1","29.1","(X)","26.7","(X)","32.2","(X)","44207","3569","44183","3622","-","**","133208","129856","-","**","-","**","-","**","41017","14438","39768","15881","44328","3612","22422","31442","51020","5037","43880","6243","40843","9767","55443","4089","57963","10043","54362","4770","59713","4174","24875","13239","28140","12065","27120","5235","21791","4464","19951","2914","42564","8738","35562","13149","25440","8453","65541","22468","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US30031","Gallatin County, Montana","37196","1724","96.0","1.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","95.1","1.6","12.9","3.1","38.6","3.2","31.8","3.1","16.7","1.8","22359","1559","N","N","N","N","N","N","N","N","N","N","14837","1797","46.5","7.9","29.0","7.0","17.5","5.7","53.5","7.9","35.0","8.2","18.5","6.9","28.2","(X)","26.3","(X)","31.2","(X)","50302","5187","52373","6568","-","**","38231","1518","82852","53728","-","**","-","**","N","N","N","N","53152","6539","30153","11324","65013","16393","69100","13323","42166","8810","68397","7657","66560","7647","70329","11150","71507","5018","33750","17243","41729","32951","33515","6907","27263","3216","23161","4884","42328","28253","45045","13338","37331","11021","48580","8623","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US30063","Missoula County, Montana","45680","1197","94.3","1.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","92.4","1.5","9.9","2.5","36.2","2.5","36.1","2.1","17.9","1.7","27605","1522","N","N","N","N","N","N","N","N","N","N","18075","1482","53.0","6.2","36.5","6.2","16.5","4.6","47.0","6.2","30.3","6.0","16.8","5.5","30.1","(X)","26.7","(X)","31.6","(X)","41931","3525","44021","3479","-","**","28817","11223","N","N","-","**","-","**","10674","7050","26281","8924","44445","3494","23931","5841","44217","5136","56751","7596","35219","4178","58883","3617","46902","21379","62844","5008","65951","3549","30709","8343","39903","49202","25222","2438","24003","2820","21394","1509","29840","7593","26708","3841","16669","2996","35801","16096","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US30111","Yellowstone County, Montana","59276","1565","94.0","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91.3","1.9","3.6","1.1","32.7","2.0","40.4","2.0","23.3","1.2","36320","1951","46.1","3.0","53.9","3.0","69.5","3.7","22.3","3.8","8.3","2.5","22956","1987","54.9","5.0","49.8","5.4","5.1","2.2","45.1","5.0","34.4","4.7","10.7","4.1","27.9","(X)","27.8","(X)","26.8","(X)","46975","2789","47612","2352","N","N","23435","6079","-","**","-","**","N","N","N","N","60810","59639","47523","2465","18750","5161","46487","6119","55650","9734","31473","7698","57509","3412","51232","3292","65016","5724","71214","5305","26577","5399","65500","21428","24778","3473","21313","3240","19324","3686","41403","4226","31536","6191","26766","5276","74962","23041","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US31055","Douglas County, Nebraska","201124","2641","80.5","0.8","11.4","0.7","N","N","2.5","0.2","N","N","3.2","0.5","1.6","0.4","7.5","0.7","76.8","0.9","5.1","0.6","38.9","0.8","37.8","1.0","18.2","0.6","122428","3333","48.8","1.6","51.2","1.6","72.5","1.8","19.8","1.6","7.7","1.1","78696","3161","51.5","2.4","43.5","2.4","8.0","1.3","48.5","2.4","38.7","2.5","9.8","1.8","22.0","(X)","21.9","(X)","21.4","(X)","51694","1275","58148","2306","27040","3180","26324","16286","53772","15402","N","N","27206","4007","32131","11668","36222","5565","59583","2301","21878","4379","52425","3132","64816","5222","38042","2804","68148","3055","60245","4563","72036","1969","82582","2532","34474","4092","42319","2772","30912","954","27269","3484","24894","2501","47882","10969","34463","4200","31147","1283","59380","11429","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US31109","Lancaster County, Nebraska","114736","1766","91.1","0.9","N","N","N","N","3.3","0.5","N","N","N","N","N","N","4.1","0.6","88.0","0.9","11.1","1.4","37.0","1.4","34.4","1.3","17.6","0.9","71509","2881","49.4","2.3","50.6","2.3","74.9","2.5","17.0","2.0","8.1","1.8","43227","2783","52.6","3.2","39.7","2.9","12.8","2.5","47.4","3.2","33.3","3.0","14.1","2.9","16.2","(X)","16.6","(X)","14.5","(X)","48642","1899","50711","2027","24188","8519","50125","40565","34903","7092","-","**","49139","10905","35768","5881","32560","7178","51481","2142","23608","3389","51218","4267","68959","4883","40962","5347","64931","3293","62293","3132","69086","3923","80217","3763","26358","3739","35030","5164","29417","1922","25508","2871","23525","2508","30980","3223","33551","4321","30986","6123","43498","11800","(X)","(X)","(X)","(X)","(X)","(X)"
