"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_004M"
"0500000US22015","Bossier Parish, Louisiana","46685","1375","75.6","1.8","18.8","1.5","N","N","N","N","N","N","N","N","N","N","N","N","72.1","1.8","6.2","2.0","38.6","2.7","36.5","2.2","18.7","2.0","31360","2176","49.2","4.4","50.8","4.4","66.3","4.1","24.6","3.9","9.2","3.1","15325","2004","47.2","6.3","42.6","6.2","4.6","2.3","52.8","6.3","47.2","6.8","5.7","3.5","27.2","(X)","29.1","(X)","21.0","(X)","53275","4535","59297","4913","36156","8050","N","55616","34085","-","**","52538","43399","N","N","52219","4006","60124","4713","27699","11747","60058","7500","61999","10222","34142","3433","62715","4445","62152","8230","63079","6556","78083","6350","28680","9616","45571","9177","31620","4952","27822","4338","27165","5589","117825","101162","39070","14345","38374","10879","55116","24810","(X)","(X)","(X)","(X)","(X)","(X)","N"
"0500000US22017","Caddo Parish, Louisiana","96648","2111","52.9","1.4","44.4","1.4","N","N","N","N","N","N","N","N","N","N","N","N","51.9","1.3","4.9","1.2","31.7","1.6","40.1","1.5","23.3","1.3","62845","2954","41.0","2.6","59.0","2.6","58.0","3.1","33.0","2.8","9.1","1.9","33803","2691","53.7","4.1","50.6","3.9","3.1","1.4","46.3","4.1","39.4","3.9","6.9","2.0","33.4","(X)","33.1","(X)","32.5","(X)","40886","2229","53771","3824","29560","2178","40054","48835","32725","-","**","59220","45180","30306","14440","43859","22045","54289","4281","30651","7173","42447","7949","46012","3950","34646","3944","50607","4769","45948","10143","52778","4641","75405","4823","24685","3375","37819","22457","28164","3931","25430","4422","25122","4262","45682","42757","31275","5803","29563","5767","42244","5886","(X)","(X)","(X)","(X)","(X)","(X)","35154"
"0500000US22019","Calcasieu Parish, Louisiana","74708","1751","73.2","1.5","23.3","1.5","N","N","N","N","N","N","N","N","N","N","N","N","71.2","1.4","5.5","1.3","31.6","1.5","41.0","1.6","21.9","1.0","51530","2311","45.0","2.9","55.0","2.9","67.8","3.7","23.5","2.8","8.7","2.3","23178","1852","54.5","4.6","48.5","5.1","6.1","2.5","45.5","4.6","39.2","4.0","6.3","2.3","33.9","(X)","35.9","(X)","27.9","(X)","44300","2768","50717","3338","28694","3550","61115","N","N","-","**","N","N","23333","19465","36937","17630","51162","2912","17163","12331","46763","8999","51784","7071","32178","5735","55559","4588","52094","7436","56798","5429","71143","3983","26612","6407","50599","14012","21465","2270","19097","2370","18334","2610","24354","9181","26114","4960","24664","5383","29477","27255","(X)","(X)","(X)","(X)","(X)","(X)","4257"
"0500000US22033","East Baton Rouge Parish, Louisiana","167731","3344","53.7","1.2","41.5","1.1","N","N","2.8","0.6","N","N","N","N","N","N","3.0","0.4","51.5","1.3","7.9","1.0","35.7","1.4","37.6","1.2","18.8","0.9","100032","3752","41.4","2.4","58.6","2.4","64.1","2.9","27.5","2.4","8.4","1.7","67699","3295","51.2","2.8","44.3","3.1","6.9","1.6","48.8","2.8","36.5","3.2","12.3","2.2","42.2","(X)","45.1","(X)","37.0","(X)","47967","1904","62744","4371","33647","2927","N","33772","22325","-","**","46579","35677","47931","13927","45165","13854","64450","5091","16614","6519","49016","2914","58458","4633","41899","4235","61569","4242","52017","4965","67927","3507","81135","4420","28614","4875","46699","10369","32303","1998","29894","3063","27857","3677","43218","10931","37321","5614","38924","5361","34318","9800","(X)","(X)","(X)","(X)","(X)","(X)","N"
"0500000US22045","Iberia Parish, Louisiana","26359","1185","64.7","2.6","31.0","2.5","N","N","N","N","N","N","N","N","N","N","N","N","62.1","2.5","2.6","1.5","32.3","3.0","41.0","3.2","24.1","2.1","19250","1402","N","N","N","N","N","N","N","N","N","N","7109","1181","45.5","8.5","41.8","8.8","3.7","3.4","54.5","8.5","46.1","8.7","8.3","5.0","25.7","(X)","28.2","(X)","18.9","(X)","43869","3607","57765","8003","27216","8148","-","41105","40080","-","**","-","**","N","N","35713","33158","57904","7496","26823","16919","53782","11110","46212","6414","34063","7700","49268","5355","45417","5125","59191","10695","69739","12373","16773","2943","47575","8389","24832","3960","19778","10861","18908","10299","83188","102847","34352","8726","30359","15779","77525","20939","(X)","(X)","(X)","(X)","(X)","(X)","**"
"0500000US22051","Jefferson Parish, Louisiana","166492","2246","67.7","1.1","24.6","0.9","N","N","3.1","0.4","N","N","2.3","0.7","1.7","0.4","10.4","0.9","60.6","1.0","3.6","0.7","33.1","1.2","39.2","1.0","24.1","0.9","104146","3159","42.2","2.2","57.8","2.2","66.4","2.3","24.4","2.0","9.2","1.4","62346","3156","53.4","2.7","46.3","2.7","7.1","1.5","46.6","2.7","38.5","2.8","8.1","1.7","31.8","(X)","33.5","(X)","27.3","(X)","45519","1907","51816","1539","33742","4322","16875","48458","13229","-","**","43192","5804","37902","11250","38557","6768","53341","2348","20255","2531","49706","3195","56991","6441","31125","2135","59852","3795","51470","4438","63315","2529","73462","3740","30107","2444","42746","8472","29078","2956","24253","2341","21156","1833","51780","15343","33824","4692","31727","2794","48089","17213","(X)","(X)","(X)","(X)","(X)","(X)","16407"
"0500000US22071","Orleans Parish, Louisiana","151735","2526","38.4","0.9","56.3","1.0","N","N","2.1","0.3","N","N","1.5","0.4","1.3","0.3","5.1","0.5","35.2","0.9","4.3","0.6","38.6","0.9","38.7","1.1","18.4","0.8","76120","2828","44.5","2.0","55.5","2.0","53.6","2.1","37.3","1.9","9.1","1.1","75615","2575","49.8","2.1","43.6","2.1","6.2","1.0","50.2","2.1","39.2","2.1","11.0","1.4","36.9","(X)","41.3","(X)","31.8","(X)","34361","1798","60344","2660","23213","2235","33452","45633","7825","-","**","30938","15144","42972","12437","36900","9570","61796","2818","12239","5536","36193","2832","40852","3093","28112","1919","46028","2581","32992","4324","54644","3926","76829","4094","21782","2378","33645","7244","22917","2030","19379","1848","17540","1665","48144","14142","28095","2654","22568","3594","48767","10414","(X)","(X)","(X)","(X)","(X)","(X)","16147"
"0500000US22055","Lafayette Parish, Louisiana","88097","1632","71.6","1.7","24.1","1.5","N","N","N","N","N","N","N","N","N","N","3.0","0.6","69.5","1.5","5.6","1.1","39.2","1.5","38.0","1.5","17.2","1.1","55558","2620","48.6","3.3","51.4","3.3","66.8","3.3","24.5","3.0","8.8","2.3","32539","2517","49.7","3.7","44.5","3.5","5.2","2.1","50.3","3.7","39.5","4.5","10.8","3.1","30.0","(X)","29.4","(X)","29.9","(X)","47341","3805","56846","6236","24400","5092","N","36563","12354","-","**","55693","22885","N","N","48795","20157","57140","6209","20351","5063","50611","4562","56780","7716","32672","3833","61343","5987","57114","10331","63086","8787","81558","2680","21192","2626","68071","18860","29018","6460","21753","1581","20998","1466","45503","12551","37385","6580","35671","4426","48248","6704","(X)","(X)","(X)","(X)","(X)","(X)","N"
"0500000US22057","Lafourche Parish, Louisiana","35392","976","82.6","2.3","12.6","1.6","N","N","N","N","N","N","N","N","N","N","N","N","80.0","2.1","5.3","1.9","32.3","2.4","38.2","2.2","24.1","1.7","25220","1419","N","N","N","N","N","N","N","N","N","N","10172","1258","48.0","6.6","39.6","6.4","8.4","3.3","52.0","6.6","44.1","6.9","7.9","3.7","27.0","(X)","28.1","(X)","19.3","(X)","48767","4572","52265","3354","27108","6136","26243","70979","13381","-","**","35783","30522","N","N","36190","7327","52837","3611","37083","16288","61065","12856","58790","3591","27912","2578","54517","4524","56142","11660","53452","5724","67592","6754","28380","3530","30544","3458","26405","4959","17428","4073","16134","1470","53028","21032","40021","9707","37607","13034","90607","22050","(X)","(X)","(X)","(X)","(X)","(X)","17683"
"0500000US22063","Livingston Parish, Louisiana","47228","1302","92.5","1.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91.1","1.8","4.2","1.9","39.4","2.6","38.8","2.6","17.7","1.8","34444","1901","N","N","N","N","N","N","N","N","N","N","12784","1959","45.0","7.5","36.0","7.0","8.9","5.1","55.0","7.5","43.4","8.1","11.6","5.5","31.7","(X)","32.0","(X)","29.1","(X)","52397","5035","53218","5231","32768","17120","166479","-","**","-","**","N","N","116117","685","N","N","53554","6079","31285","13616","58810","11455","61207","11499","31539","3679","61456","5096","61960","6098","60478","11286","81388","6041","19865","5057","53879","10442","30048","8041","23587","6160","22709","9116","26981","18701","37181","15427","35166","14020","76426","38834","(X)","(X)","(X)","(X)","(X)","(X)","54759"
