"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US01003","Baldwin County, Alabama","76779","3010","90.4","1.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88.4","1.9","3.1","1.1","24.5","2.2","40.3","2.3","32.2","2.0","49943","3287","N","N","N","N","N","N","N","N","N","N","26836","2574","58.2","5.9","50.8","6.3","7.4","3.3","41.8","5.9","38.2","5.9","3.7","1.8","36.3","(X)","38.6","(X)","30.7","(X)","56732","3829","59249","3562","29990","21408","N","N","N","N","-","**","43239","37990","36805","32583","54290","21283","59023","3675","41028","7801","62073","7841","63005","6256","47562","7653","75741","5089","81911","17937","74740","4568","85509","5320","34161","6317","65704","32964","31812","3580","32123","4908","27057","7246","44446","11143","31568","6364","31169","4776","70385","22884","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01015","Calhoun County, Alabama","43972","1687","76.4","1.9","20.3","1.8","N","N","N","N","N","N","N","N","N","N","N","N","76.0","2.0","4.9","1.4","30.8","2.2","37.3","2.1","27.1","1.5","30403","1889","N","N","N","N","N","N","N","N","N","N","13569","1485","52.0","5.7","45.5","5.5","6.5","2.8","48.0","5.7","38.6","5.6","9.3","5.1","35.4","(X)","35.6","(X)","32.0","(X)","41687","3903","43774","5808","33694","11034","34528","26044","51817","39036","-","**","61262","42978","37904","30203","40451","33985","43812","5830","23944","21461","52393","12418","44738","10581","31668","2950","52838","3261","52297","9576","52981","2953","59353","4458","34604","8234","43940","14130","21597","2436","19207","4349","16711","4021","39552","19177","27262","11002","20921","2512","38974","10971","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01043","Cullman County, Alabama","30299","1234","96.6","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.8","1.7","2.7","1.3","26.2","2.5","39.1","2.6","32.1","2.5","21551","1384","N","N","N","N","N","N","N","N","N","N","8748","1321","49.6","7.3","49.0","7.3","0.6","1.1","50.4","7.3","46.1","7.2","4.3","2.9","34.5","(X)","33.1","(X)","37.3","(X)","39411","3647","39892","4292","36726","5673","N","N","-","**","-","**","38476","1868","49093","42014","41574","18797","39737","4222","35105","7509","48785","4796","50297","9306","32279","6423","49937","4492","52175","9806","48763","4602","59225","6265","22478","7110","31488","15371","22614","5307","17856","5809","17463","5565","-","**","30070","10483","24914","11962","36296","30584","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01049","DeKalb County, Alabama","25383","1190","89.7","3.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.7","2.9","2.6","1.3","31.9","2.9","37.5","2.8","28.0","1.9","18834","1335","N","N","N","N","N","N","N","N","N","N","6549","1089","52.5","9.7","48.3","8.3","4.2","4.1","47.5","9.7","42.9","9.6","4.6","4.2","38.2","(X)","40.1","(X)","31.7","(X)","35963","3259","36720","2866","25145","16204","100015","46266","-","**","-","**","28866","6917","55295","48544","29232","5414","36528","2843","12437","41676","35388","5697","42496","7799","30721","5784","40496","3287","34401","5653","49304","7006","49409","3565","21367","6797","41486","5717","16198","5370","13887","2845","12871","2183","60893","66515","19210","7296","18180","8696","65341","78287","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01051","Elmore County, Alabama","29350","1102","78.3","2.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78.0","2.5","3.6","1.8","33.7","3.4","39.0","3.1","23.7","2.1","21413","1872","N","N","N","N","N","N","N","N","N","N","7937","1425","55.8","8.2","49.0","9.1","6.9","4.1","44.2","8.2","42.2","8.4","2.0","1.7","34.1","(X)","35.0","(X)","30.2","(X)","52579","6661","58210","8913","35535","16093","-","**","N","N","-","**","-","**","N","N","49189","40242","58243","8888","40422","29156","52851","18150","69352","15059","48016","9076","67426","8432","63733","12124","75004","15424","81405","8000","24198","5250","40467","44457","34672","9506","22976","8671","20176","4875","49767","23615","41218","4086","40991","3505","54539","40324","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01055","Etowah County, Alabama","38766","1489","82.2","2.2","15.9","1.9","N","N","N","N","N","N","N","N","N","N","N","N","80.4","2.7","2.9","1.3","25.6","2.9","40.6","2.7","30.8","1.9","26348","1553","37.8","3.6","62.2","3.6","69.5","4.6","24.5","4.0","6.0","2.6","12418","1392","55.9","6.0","51.1","6.0","4.8","3.0","44.1","6.0","37.9","6.1","6.2","3.6","39.7","(X)","39.5","(X)","35.5","(X)","41152","2983","44462","5538","22061","3565","19087","7121","N","N","-","**","-","**","N","N","34309","29433","44376","5490","15215","10034","45987","17788","50956","3167","38083","4747","53675","5121","57887","8081","51992","4873","65481","2977","24314","6565","33594","20043","25326","4668","21411","6595","19636","4903","61563","28637","26461","3864","25224","4907","64139","30385","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01069","Houston County, Alabama","39167","959","71.6","1.4","26.4","1.4","N","N","N","N","N","N","N","N","N","N","N","N","70.2","1.3","3.3","0.7","30.4","1.2","37.0","1.5","29.3","1.1","25102","1015","38.6","2.2","61.4","2.2","68.1","2.5","24.4","2.3","7.5","1.6","14065","787","56.2","3.7","50.4","3.6","5.8","1.9","43.8","3.7","37.8","4.1","6.0","1.7","41.1","(X)","40.5","(X)","39.4","(X)","42321","2690","51520","2346","25803","1943","N","N","75265","31924","-","**","81250","33050","33772","5424","37276","8788","51959","2520","17422","8405","41247","3329","53173","4903","35901","3076","54251","2554","46500","4255","58628","3261","72593","4809","24341","2265","33750","7811","24527","2558","22030","1762","21407","1628","36174","13904","30397","5883","26658","6058","43617","6999","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01073","Jefferson County, Alabama","261904","4316","54.2","0.9","41.7","0.9","N","N","N","N","N","N","N","N","N","N","2.4","0.3","53.3","0.9","3.3","0.5","34.3","0.9","38.5","0.9","23.9","0.6","164604","4611","41.7","1.7","58.3","1.7","65.1","1.9","27.8","1.6","7.1","1.2","97300","4173","55.0","2.0","49.1","2.1","5.9","1.2","45.0","2.0","38.6","2.2","6.4","1.4","38.9","(X)","41.6","(X)","33.2","(X)","50180","1412","65123","2896","36666","1854","44538","43655","75040","30610","-","**","56472","23814","30252","14069","44423","14975","65634","2789","23881","4168","52866","2682","59818","3272","36114","2893","66096","2236","59572","5739","69881","2888","87880","3368","32803","2432","51125","5326","29941","1826","27526","2647","24228","2372","64357","10596","32623","3269","30662","2863","42729","6458","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01077","Lauderdale County, Alabama","37875","1391","88.3","1.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.7","2.1","6.0","1.9","27.3","2.5","38.1","2.4","28.7","2.1","23256","1897","N","N","N","N","N","N","N","N","N","N","14619","1606","47.8","4.9","42.7","4.9","5.1","2.6","52.2","4.9","40.5","6.3","11.6","5.0","45.2","(X)","42.5","(X)","49.1","(X)","43427","3414","45019","3092","36768","13438","-","**","250,000+","***","-","**","-","**","N","N","21043","16053","45692","3006","23080","5797","45715","6708","58097","12713","39680","5422","64042","7090","53939","9205","68318","4743","69566","4877","40303","12000","41742","21815","26743","3864","22650","3620","21532","3172","35608","10096","29292","4390","26436","6354","40570","16936","(X)","(X)","(X)","(X)","(X)","(X)"
